lizard  mass  svl  hls
1	5.526	59.0	113.5
2	10.401	75.0	142.0
3	9.213	69.0	124.0
4	8.953	67.5	125.0
5	7.063	62.0	129.5
6	6.610	62.0	123.0
7	11.273	74.0	140.0
8	2.247	47.0	97.0
9	15.493	86.5	162.0
10	9.004	69.0	126.5
11	8.199	70.5	136.0
12	6.601	64.5	116.0
13	7.622	67.5	135.0
14	10.067	73.0	136.5
15	10.091	73.0	135.5
16	10.888	77.0	139.0
17	7.610	61.5	118.0
18	7.733	66.5	133.5
19	12.015	79.5	150.0
20	10.049	74.0	137.0
21	5.149	59.5	116.0
22	9.158	68.0	123.0
23	12.132	75.0	141.0
24	6.978	66.5	117.0
25	6.890	63.0	117.0

  
